"기간	자치구	악성신생물(암) 전체	악성신생물(암) 전체	악성신생물(암) 전체	악성신생물(암) 전체	악성신생물(암) 전체	악성신생물(암) 전체	폐암	폐암	폐암	폐암	폐암	폐암	간암	간암	간암	간암	간암	간암	위암	위암	위암	위암	위암	위암	대장암	대장암	대장암	대장암	대장암	대장암	췌장암	췌장암	췌장암	췌장암	췌장암	췌장암"
"기간	자치구	사망자수	사망자수	사망자수	사망률	사망률	사망률	사망자수	사망자수	사망자수	사망률	사망률	사망률	사망자수	사망자수	사망자수	사망률	사망률	사망률	사망자수	사망자수	사망자수	사망률	사망률	사망률	사망자수	사망자수	사망자수	사망률	사망률	사망률	사망자수	사망자수	사망자수	사망률	사망률	사망률"
"기간	자치구	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자"
"2020	합계	13,530	8,321	5,209	141.9	179.2	106.5	2,829	2,102	727	29.7	45.3	14.9	1,628	1,197	431	17.1	25.8	8.8	1,239	786	453	13	16.9	9.3	1,501	857	644	15.7	18.5	13.2	1,195	609	586	12.5	13.1	12"
"2020	종로구	245	160	85	169.1	226.6	114.5	57	48	9	39.3	68	12.1	21	13	8	14.5	18.4	10.8	25	19	6	17.3	26.9	8.1	23	14	9	15.9	19.8	12.1	24	10	14	16.6	14.2	18.9"
"2020	중구	199	120	79	163.8	201.6	127.5	45	32	13	37	53.7	21	22	18	4	18.1	30.2	6.5	11	7	4	9.1	11.8	6.5	25	16	9	20.6	26.9	14.5	22	6	16	18.1	10.1	25.8"
"2020	용산구	319	184	135	145.4	173.2	119.3	59	47	12	26.9	44.2	10.6	35	24	11	16	22.6	9.7	24	10	14	10.9	9.4	12.4	38	25	13	17.3	23.5	11.5	30	12	18	13.7	11.3	15.9"
"2020	성동구	387	225	162	132.6	157.7	108.6	99	75	24	33.9	52.6	16.1	42	31	11	14.4	21.7	7.4	32	16	16	11	11.2	10.7	49	28	21	16.8	19.6	14.1	26	7	19	8.9	4.9	12.7"
"2020	광진구	456	277	179	132.6	166.6	100.8	91	74	17	26.5	44.5	9.6	63	50	13	18.3	30.1	7.3	36	15	21	10.5	9	11.8	48	26	22	14	15.6	12.4	41	20	21	11.9	12	11.8"
"2020	동대문구	580	375	205	171.7	223.8	120.4	108	81	27	32	48.3	15.9	74	58	16	21.9	34.6	9.4	63	49	14	18.7	29.2	8.2	69	43	26	20.4	25.7	15.3	42	17	25	12.4	10.1	14.7"
"2020	중랑구	693	448	245	177.6	232	124.3	151	110	41	38.7	57	20.8	90	70	20	23.1	36.2	10.1	65	45	20	16.7	23.3	10.1	88	57	31	22.6	29.5	15.7	55	36	19	14.1	18.6	9.6"
"2020	성북구	680	414	266	157.3	198.1	119.2	145	106	39	33.5	50.7	17.5	81	55	26	18.7	26.3	11.6	68	40	28	15.7	19.1	12.5	73	36	37	16.9	17.2	16.6	59	31	28	13.7	14.8	12.5"
"2020	강북구	612	380	232	200.3	255.1	148.2	132	94	38	43.2	63.1	24.3	82	55	27	26.8	36.9	17.2	54	38	16	17.7	25.5	10.2	67	43	24	21.9	28.9	15.3	54	26	28	17.7	17.5	17.9"
"2020	도봉구	564	345	219	173.5	217.4	131.7	125	93	32	38.5	58.6	19.2	65	54	11	20	34	6.6	42	24	18	12.9	15.1	10.8	68	35	33	20.9	22.1	19.8	53	24	29	16.3	15.1	17.4"
"2020	노원구	803	473	330	153.8	187.4	122.3	172	124	48	32.9	49.1	17.8	96	63	33	18.4	25	12.2	73	50	23	14	19.8	8.5	93	49	44	17.8	19.4	16.3	75	40	35	14.4	15.8	13"
